Date Caught,USGS Band #,Species,Sex,Bacterial_Killing_Percentage
7-Mar-23,3010-18111,LEGO,Male,28.09688581
18-Mar-23,3010-18113,AMGO,Male,26.75078864
18-Mar-23,3010-18114,AMGO,Male,35.07886435
18-Mar-23,3010-18115,AMGO,Male,33.24921136
18-Mar-23,3010-18117,AMGO,Male,24.03785489
18-Mar-23,3010-18118,AMGO,Male,31.9873817
18-Mar-23,3010-18119,AMGO,Male,25.42586751
18-Mar-23,3010-18120,AMGO,Male,31.92429022
18-Mar-23,3010-18121,AMGO,Male,25.93059937
18-Mar-23,3010-18124,AMGO,Male,26.62460568
8-Mar-22,2940-13844,PISI,NA,25.6296296
